userId	geneSymbol	geneName	entrezgene	gLink
MMP2	MMP2	matrix metallopeptidase 2	4313	https://www.ncbi.nlm.nih.gov/gene/?term=4313
MORC4	MORC4	MORC family CW-type zinc finger 4	79710	https://www.ncbi.nlm.nih.gov/gene/?term=79710
MSH2	MSH2	mutS homolog 2	4436	https://www.ncbi.nlm.nih.gov/gene/?term=4436
MSH4	MSH4	mutS homolog 4	4438	https://www.ncbi.nlm.nih.gov/gene/?term=4438
MSH6	MSH6	mutS homolog 6	2956	https://www.ncbi.nlm.nih.gov/gene/?term=2956
MTHFD1L	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	25902	https://www.ncbi.nlm.nih.gov/gene/?term=25902
MUTYH	MUTYH	mutY DNA glycosylase	4595	https://www.ncbi.nlm.nih.gov/gene/?term=4595
MYLK3	MYLK3	myosin light chain kinase 3	91807	https://www.ncbi.nlm.nih.gov/gene/?term=91807
MYO1B	MYO1B	myosin IB	4430	https://www.ncbi.nlm.nih.gov/gene/?term=4430
NCAPH	NCAPH	non-SMC condensin I complex subunit H	23397	https://www.ncbi.nlm.nih.gov/gene/?term=23397
NCDN	NCDN	neurochondrin	23154	https://www.ncbi.nlm.nih.gov/gene/?term=23154
ND4	ND4	NADH dehydrogenase, subunit 4 (complex I)	4538	https://www.ncbi.nlm.nih.gov/gene/?term=4538
NDEL1	NDEL1	nudE neurodevelopment protein 1 like 1	81565	https://www.ncbi.nlm.nih.gov/gene/?term=81565
NEK11	NEK11	NIMA related kinase 11	79858	https://www.ncbi.nlm.nih.gov/gene/?term=79858
NEK2	NEK2	NIMA related kinase 2	4751	https://www.ncbi.nlm.nih.gov/gene/?term=4751
NF1	NF1	neurofibromin 1	4763	https://www.ncbi.nlm.nih.gov/gene/?term=4763
NFATC1	NFATC1	nuclear factor of activated T cells 1	4772	https://www.ncbi.nlm.nih.gov/gene/?term=4772
NID1	NID1	nidogen 1	4811	https://www.ncbi.nlm.nih.gov/gene/?term=4811
NINL	NINL	ninein like	22981	https://www.ncbi.nlm.nih.gov/gene/?term=22981
NME7	NME7	NME/NM23 family member 7	29922	https://www.ncbi.nlm.nih.gov/gene/?term=29922
NOS3	NOS3	nitric oxide synthase 3	4846	https://www.ncbi.nlm.nih.gov/gene/?term=4846
NPBWR2	NPBWR2	neuropeptides B and W receptor 2	2832	https://www.ncbi.nlm.nih.gov/gene/?term=2832
NQO1	NQO1	NAD(P)H quinone dehydrogenase 1	1728	https://www.ncbi.nlm.nih.gov/gene/?term=1728
NR3C2	NR3C2	nuclear receptor subfamily 3 group C member 2	4306	https://www.ncbi.nlm.nih.gov/gene/?term=4306
NRAS	NRAS	NRAS proto-oncogene, GTPase	4893	https://www.ncbi.nlm.nih.gov/gene/?term=4893
NRG2	NRG2	neuregulin 2	9542	https://www.ncbi.nlm.nih.gov/gene/?term=9542
NUCB1	NUCB1	nucleobindin 1	4924	https://www.ncbi.nlm.nih.gov/gene/?term=4924
NUFIP1	NUFIP1	nuclear FMR1 interacting protein 1	26747	https://www.ncbi.nlm.nih.gov/gene/?term=26747
OSBP	OSBP	oxysterol binding protein	5007	https://www.ncbi.nlm.nih.gov/gene/?term=5007
OVGP1	OVGP1	oviductal glycoprotein 1	5016	https://www.ncbi.nlm.nih.gov/gene/?term=5016
P2RX7	P2RX7	purinergic receptor P2X 7	5027	https://www.ncbi.nlm.nih.gov/gene/?term=5027
P2RY14	P2RY14	purinergic receptor P2Y14	9934	https://www.ncbi.nlm.nih.gov/gene/?term=9934
PADI4	PADI4	peptidyl arginine deiminase 4	23569	https://www.ncbi.nlm.nih.gov/gene/?term=23569
PAK3	PAK3	p21 (RAC1) activated kinase 3	5063	https://www.ncbi.nlm.nih.gov/gene/?term=5063
PAN2	PAN2	poly(A) specific ribonuclease subunit PAN2	9924	https://www.ncbi.nlm.nih.gov/gene/?term=9924
PAOX	PAOX	polyamine oxidase	196743	https://www.ncbi.nlm.nih.gov/gene/?term=196743
PBK	PBK	PDZ binding kinase	55872	https://www.ncbi.nlm.nih.gov/gene/?term=55872
PBXIP1	PBXIP1	PBX homeobox interacting protein 1	57326	https://www.ncbi.nlm.nih.gov/gene/?term=57326
PCP4	PCP4	Purkinje cell protein 4	5121	https://www.ncbi.nlm.nih.gov/gene/?term=5121
PCSK2	PCSK2	proprotein convertase subtilisin/kexin type 2	5126	https://www.ncbi.nlm.nih.gov/gene/?term=5126
PDGFD	PDGFD	platelet derived growth factor D	80310	https://www.ncbi.nlm.nih.gov/gene/?term=80310
PDHB	PDHB	pyruvate dehydrogenase E1 beta subunit	5162	https://www.ncbi.nlm.nih.gov/gene/?term=5162
PDILT	PDILT	protein disulfide isomerase like, testis expressed	204474	https://www.ncbi.nlm.nih.gov/gene/?term=204474
PDLIM5	PDLIM5	PDZ and LIM domain 5	10611	https://www.ncbi.nlm.nih.gov/gene/?term=10611
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
PFKL	PFKL	phosphofructokinase, liver type	5211	https://www.ncbi.nlm.nih.gov/gene/?term=5211
PHIP	PHIP	pleckstrin homology domain interacting protein	55023	https://www.ncbi.nlm.nih.gov/gene/?term=55023
PHKB	PHKB	phosphorylase kinase regulatory subunit beta	5257	https://www.ncbi.nlm.nih.gov/gene/?term=5257
PHKG1	PHKG1	phosphorylase kinase catalytic subunit gamma 1	5260	https://www.ncbi.nlm.nih.gov/gene/?term=5260
PIK3CA	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	5290	https://www.ncbi.nlm.nih.gov/gene/?term=5290
PIM1	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	5292	https://www.ncbi.nlm.nih.gov/gene/?term=5292
PKHD1	PKHD1	PKHD1, fibrocystin/polyductin	5314	https://www.ncbi.nlm.nih.gov/gene/?term=5314
PKN1	PKN1	protein kinase N1	5585	https://www.ncbi.nlm.nih.gov/gene/?term=5585
PKNOX1	PKNOX1	PBX/knotted 1 homeobox 1	5316	https://www.ncbi.nlm.nih.gov/gene/?term=5316
POLA1	POLA1	DNA polymerase alpha 1, catalytic subunit	5422	https://www.ncbi.nlm.nih.gov/gene/?term=5422
POLD3	POLD3	DNA polymerase delta 3, accessory subunit	10714	https://www.ncbi.nlm.nih.gov/gene/?term=10714
PPARG	PPARG	peroxisome proliferator activated receptor gamma	5468	https://www.ncbi.nlm.nih.gov/gene/?term=5468
PPP2R1B	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	5519	https://www.ncbi.nlm.nih.gov/gene/?term=5519
PPP2R2A	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	5520	https://www.ncbi.nlm.nih.gov/gene/?term=5520
PQBP1	PQBP1	polyglutamine binding protein 1	10084	https://www.ncbi.nlm.nih.gov/gene/?term=10084
PREX2	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	80243	https://www.ncbi.nlm.nih.gov/gene/?term=80243
PRF1	PRF1	perforin 1	5551	https://www.ncbi.nlm.nih.gov/gene/?term=5551
PRG2	PRG2	proteoglycan 2, pro eosinophil major basic protein	5553	https://www.ncbi.nlm.nih.gov/gene/?term=5553
PRIMA1	PRIMA1	proline rich membrane anchor 1	145270	https://www.ncbi.nlm.nih.gov/gene/?term=145270
PRKCB	PRKCB	protein kinase C beta	5579	https://www.ncbi.nlm.nih.gov/gene/?term=5579
PRKCE	PRKCE	protein kinase C epsilon	5581	https://www.ncbi.nlm.nih.gov/gene/?term=5581
PRKCH	PRKCH	protein kinase C eta	5583	https://www.ncbi.nlm.nih.gov/gene/?term=5583
PRKCQ	PRKCQ	protein kinase C theta	5588	https://www.ncbi.nlm.nih.gov/gene/?term=5588
PRKCZ	PRKCZ	protein kinase C zeta	5590	https://www.ncbi.nlm.nih.gov/gene/?term=5590
PRKD1	PRKD1	protein kinase D1	5587	https://www.ncbi.nlm.nih.gov/gene/?term=5587
PRKG2	PRKG2	protein kinase cGMP-dependent 2	5593	https://www.ncbi.nlm.nih.gov/gene/?term=5593
PROS1	PROS1	protein S	5627	https://www.ncbi.nlm.nih.gov/gene/?term=5627
PRPS1	PRPS1	phosphoribosyl pyrophosphate synthetase 1	5631	https://www.ncbi.nlm.nih.gov/gene/?term=5631
PRTN3	PRTN3	proteinase 3	5657	https://www.ncbi.nlm.nih.gov/gene/?term=5657
PSAT1	PSAT1	phosphoserine aminotransferase 1	29968	https://www.ncbi.nlm.nih.gov/gene/?term=29968
PSMA2	PSMA2	proteasome subunit alpha 2	5683	https://www.ncbi.nlm.nih.gov/gene/?term=5683
PSMC1	PSMC1	proteasome 26S subunit, ATPase 1	5700	https://www.ncbi.nlm.nih.gov/gene/?term=5700
PSMC2	PSMC2	proteasome 26S subunit, ATPase 2	5701	https://www.ncbi.nlm.nih.gov/gene/?term=5701
PSMC5	PSMC5	proteasome 26S subunit, ATPase 5	5705	https://www.ncbi.nlm.nih.gov/gene/?term=5705
PSMD9	PSMD9	proteasome 26S subunit, non-ATPase 9	5715	https://www.ncbi.nlm.nih.gov/gene/?term=5715
PTPRD	PTPRD	protein tyrosine phosphatase, receptor type D	5789	https://www.ncbi.nlm.nih.gov/gene/?term=5789
PTPRJ	PTPRJ	protein tyrosine phosphatase, receptor type J	5795	https://www.ncbi.nlm.nih.gov/gene/?term=5795
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798	https://www.ncbi.nlm.nih.gov/gene/?term=5798
PTPRN2	PTPRN2	protein tyrosine phosphatase, receptor type N2	5799	https://www.ncbi.nlm.nih.gov/gene/?term=5799
PTPRS	PTPRS	protein tyrosine phosphatase, receptor type S	5802	https://www.ncbi.nlm.nih.gov/gene/?term=5802
PTPRT	PTPRT	protein tyrosine phosphatase, receptor type T	11122	https://www.ncbi.nlm.nih.gov/gene/?term=11122
PTPRU	PTPRU	protein tyrosine phosphatase, receptor type U	10076	https://www.ncbi.nlm.nih.gov/gene/?term=10076
PWP1	PWP1	PWP1 homolog, endonuclein	11137	https://www.ncbi.nlm.nih.gov/gene/?term=11137
PZP	PZP	PZP, alpha-2-macroglobulin like	5858	https://www.ncbi.nlm.nih.gov/gene/?term=5858
QKI	QKI	QKI, KH domain containing RNA binding	9444	https://www.ncbi.nlm.nih.gov/gene/?term=9444
RAB38	RAB38	RAB38, member RAS oncogene family	23682	https://www.ncbi.nlm.nih.gov/gene/?term=23682
RAB5C	RAB5C	RAB5C, member RAS oncogene family	5878	https://www.ncbi.nlm.nih.gov/gene/?term=5878
RAD54B	RAD54B	RAD54 homolog B	25788	https://www.ncbi.nlm.nih.gov/gene/?term=25788
RALGAPA2	RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2	57186	https://www.ncbi.nlm.nih.gov/gene/?term=57186
RALGAPB	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit	57148	https://www.ncbi.nlm.nih.gov/gene/?term=57148
RALGDS	RALGDS	ral guanine nucleotide dissociation stimulator	5900	https://www.ncbi.nlm.nih.gov/gene/?term=5900
RARB	RARB	retinoic acid receptor beta	5915	https://www.ncbi.nlm.nih.gov/gene/?term=5915
RASAL2	RASAL2	RAS protein activator like 2	9462	https://www.ncbi.nlm.nih.gov/gene/?term=9462
RASGRF2	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2	5924	https://www.ncbi.nlm.nih.gov/gene/?term=5924
RASSF2	RASSF2	Ras association domain family member 2	9770	https://www.ncbi.nlm.nih.gov/gene/?term=9770
RBM10	RBM10	RNA binding motif protein 10	8241	https://www.ncbi.nlm.nih.gov/gene/?term=8241
RBMS1	RBMS1	RNA binding motif single stranded interacting protein 1	5937	https://www.ncbi.nlm.nih.gov/gene/?term=5937
RET	RET	ret proto-oncogene	5979	https://www.ncbi.nlm.nih.gov/gene/?term=5979
RHEB	RHEB	Ras homolog, mTORC1 binding	6009	https://www.ncbi.nlm.nih.gov/gene/?term=6009
RIPK1	RIPK1	receptor interacting serine/threonine kinase 1	8737	https://www.ncbi.nlm.nih.gov/gene/?term=8737
RNASE2	RNASE2	ribonuclease A family member 2	6036	https://www.ncbi.nlm.nih.gov/gene/?term=6036
RNF182	RNF182	ring finger protein 182	221687	https://www.ncbi.nlm.nih.gov/gene/?term=221687
ROR1	ROR1	receptor tyrosine kinase like orphan receptor 1	4919	https://www.ncbi.nlm.nih.gov/gene/?term=4919
ROR2	ROR2	receptor tyrosine kinase like orphan receptor 2	4920	https://www.ncbi.nlm.nih.gov/gene/?term=4920
RORA	RORA	RAR related orphan receptor A	6095	https://www.ncbi.nlm.nih.gov/gene/?term=6095
ROS1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6098	https://www.ncbi.nlm.nih.gov/gene/?term=6098
RPL27	RPL27	ribosomal protein L27	6155	https://www.ncbi.nlm.nih.gov/gene/?term=6155
RPL27A	RPL27A	ribosomal protein L27a	6157	https://www.ncbi.nlm.nih.gov/gene/?term=6157
RPL37A	RPL37A	ribosomal protein L37a	6168	https://www.ncbi.nlm.nih.gov/gene/?term=6168
RPL38	RPL38	ribosomal protein L38	6169	https://www.ncbi.nlm.nih.gov/gene/?term=6169
RPLP2	RPLP2	ribosomal protein lateral stalk subunit P2	6181	https://www.ncbi.nlm.nih.gov/gene/?term=6181
RPN2	RPN2	ribophorin II	6185	https://www.ncbi.nlm.nih.gov/gene/?term=6185
RPS10	RPS10	ribosomal protein S10	6204	https://www.ncbi.nlm.nih.gov/gene/?term=6204
RPS11	RPS11	ribosomal protein S11	6205	https://www.ncbi.nlm.nih.gov/gene/?term=6205
RPS19	RPS19	ribosomal protein S19	6223	https://www.ncbi.nlm.nih.gov/gene/?term=6223
RPS20	RPS20	ribosomal protein S20	6224	https://www.ncbi.nlm.nih.gov/gene/?term=6224
RPS5	RPS5	ribosomal protein S5	6193	https://www.ncbi.nlm.nih.gov/gene/?term=6193
RPS6KA2	RPS6KA2	ribosomal protein S6 kinase A2	6196	https://www.ncbi.nlm.nih.gov/gene/?term=6196
RPS6KB1	RPS6KB1	ribosomal protein S6 kinase B1	6198	https://www.ncbi.nlm.nih.gov/gene/?term=6198
RRM2B	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	50484	https://www.ncbi.nlm.nih.gov/gene/?term=50484
RTN4	RTN4	reticulon 4	57142	https://www.ncbi.nlm.nih.gov/gene/?term=57142
RUNX1T1	RUNX1T1	RUNX1 translocation partner 1	862	https://www.ncbi.nlm.nih.gov/gene/?term=862
S100A3	S100A3	S100 calcium binding protein A3	6274	https://www.ncbi.nlm.nih.gov/gene/?term=6274
SACM1L	SACM1L	SAC1 like phosphatidylinositide phosphatase	22908	https://www.ncbi.nlm.nih.gov/gene/?term=22908
SACS	SACS	sacsin molecular chaperone	26278	https://www.ncbi.nlm.nih.gov/gene/?term=26278
SAR1A	SAR1A	secretion associated Ras related GTPase 1A	56681	https://www.ncbi.nlm.nih.gov/gene/?term=56681
SAV1	SAV1	salvador family WW domain containing protein 1	60485	https://www.ncbi.nlm.nih.gov/gene/?term=60485
SCEL	SCEL	sciellin	8796	https://www.ncbi.nlm.nih.gov/gene/?term=8796
SCN3B	SCN3B	sodium voltage-gated channel beta subunit 3	55800	https://www.ncbi.nlm.nih.gov/gene/?term=55800
SCNN1B	SCNN1B	sodium channel epithelial 1 beta subunit	6338	https://www.ncbi.nlm.nih.gov/gene/?term=6338
SCNN1G	SCNN1G	sodium channel epithelial 1 gamma subunit	6340	https://www.ncbi.nlm.nih.gov/gene/?term=6340
SCOC	SCOC	short coiled-coil protein	60592	https://www.ncbi.nlm.nih.gov/gene/?term=60592
SDCBP2	SDCBP2	syndecan binding protein 2	27111	https://www.ncbi.nlm.nih.gov/gene/?term=27111
SEC62	SEC62	SEC62 homolog, preprotein translocation factor	7095	https://www.ncbi.nlm.nih.gov/gene/?term=7095
SEC63	SEC63	SEC63 homolog, protein translocation regulator	11231	https://www.ncbi.nlm.nih.gov/gene/?term=11231
SET	SET	SET nuclear proto-oncogene	6418	https://www.ncbi.nlm.nih.gov/gene/?term=6418
SETBP1	SETBP1	SET binding protein 1	26040	https://www.ncbi.nlm.nih.gov/gene/?term=26040
SF3A1	SF3A1	splicing factor 3a subunit 1	10291	https://www.ncbi.nlm.nih.gov/gene/?term=10291
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944	https://www.ncbi.nlm.nih.gov/gene/?term=50944
SLC11A2	SLC11A2	solute carrier family 11 member 2	4891	https://www.ncbi.nlm.nih.gov/gene/?term=4891
SLC22A9	SLC22A9	solute carrier family 22 member 9	114571	https://www.ncbi.nlm.nih.gov/gene/?term=114571
SLC29A1	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	2030	https://www.ncbi.nlm.nih.gov/gene/?term=2030
SLC4A4	SLC4A4	solute carrier family 4 member 4	8671	https://www.ncbi.nlm.nih.gov/gene/?term=8671
SLCO1A2	SLCO1A2	solute carrier organic anion transporter family member 1A2	6579	https://www.ncbi.nlm.nih.gov/gene/?term=6579
SLCO1B3	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234	https://www.ncbi.nlm.nih.gov/gene/?term=28234
SMAD2	SMAD2	SMAD family member 2	4087	https://www.ncbi.nlm.nih.gov/gene/?term=4087
SMTN	SMTN	smoothelin	6525	https://www.ncbi.nlm.nih.gov/gene/?term=6525
SMYD2	SMYD2	SET and MYND domain containing 2	56950	https://www.ncbi.nlm.nih.gov/gene/?term=56950
SNRNP200	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	23020	https://www.ncbi.nlm.nih.gov/gene/?term=23020
SNRPB2	SNRPB2	small nuclear ribonucleoprotein polypeptide B2	6629	https://www.ncbi.nlm.nih.gov/gene/?term=6629
SORL1	SORL1	sortilin related receptor 1	6653	https://www.ncbi.nlm.nih.gov/gene/?term=6653
SP1	SP1	Sp1 transcription factor	6667	https://www.ncbi.nlm.nih.gov/gene/?term=6667
SPDYA	SPDYA	speedy/RINGO cell cycle regulator family member A	245711	https://www.ncbi.nlm.nih.gov/gene/?term=245711
SPP1	SPP1	secreted phosphoprotein 1	6696	https://www.ncbi.nlm.nih.gov/gene/?term=6696
SPRY4	SPRY4	sprouty RTK signaling antagonist 4	81848	https://www.ncbi.nlm.nih.gov/gene/?term=81848
SPTBN2	SPTBN2	spectrin beta, non-erythrocytic 2	6712	https://www.ncbi.nlm.nih.gov/gene/?term=6712
SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	6721	https://www.ncbi.nlm.nih.gov/gene/?term=6721
STAT2	STAT2	signal transducer and activator of transcription 2	6773	https://www.ncbi.nlm.nih.gov/gene/?term=6773
STK32C	STK32C	serine/threonine kinase 32C	282974	https://www.ncbi.nlm.nih.gov/gene/?term=282974
STK40	STK40	serine/threonine kinase 40	83931	https://www.ncbi.nlm.nih.gov/gene/?term=83931
STMN4	STMN4	stathmin 4	81551	https://www.ncbi.nlm.nih.gov/gene/?term=81551
STX7	STX7	syntaxin 7	8417	https://www.ncbi.nlm.nih.gov/gene/?term=8417
SUMO2	SUMO2	NA	6613	https://www.ncbi.nlm.nih.gov/gene/?term=6613
SYNE1	SYNE1	spectrin repeat containing nuclear envelope protein 1	23345	https://www.ncbi.nlm.nih.gov/gene/?term=23345
SYT17	SYT17	synaptotagmin 17	51760	https://www.ncbi.nlm.nih.gov/gene/?term=51760
SYT9	SYT9	synaptotagmin 9	143425	https://www.ncbi.nlm.nih.gov/gene/?term=143425
TACC2	TACC2	transforming acidic coiled-coil containing protein 2	10579	https://www.ncbi.nlm.nih.gov/gene/?term=10579
TAF1	TAF1	TATA-box binding protein associated factor 1	6872	https://www.ncbi.nlm.nih.gov/gene/?term=6872
TBK1	TBK1	TANK binding kinase 1	29110	https://www.ncbi.nlm.nih.gov/gene/?term=29110
TCF3	TCF3	transcription factor 3	6929	https://www.ncbi.nlm.nih.gov/gene/?term=6929
TCF7L2	TCF7L2	transcription factor 7 like 2	6934	https://www.ncbi.nlm.nih.gov/gene/?term=6934
TCOF1	TCOF1	treacle ribosome biogenesis factor 1	6949	https://www.ncbi.nlm.nih.gov/gene/?term=6949
TEX11	TEX11	testis expressed 11	56159	https://www.ncbi.nlm.nih.gov/gene/?term=56159
TFEC	TFEC	transcription factor EC	22797	https://www.ncbi.nlm.nih.gov/gene/?term=22797
TFG	TFG	TRK-fused gene	10342	https://www.ncbi.nlm.nih.gov/gene/?term=10342
TGFBR2	TGFBR2	transforming growth factor beta receptor 2	7048	https://www.ncbi.nlm.nih.gov/gene/?term=7048
TGM2	TGM2	transglutaminase 2	7052	https://www.ncbi.nlm.nih.gov/gene/?term=7052
THOC2	THOC2	THO complex 2	57187	https://www.ncbi.nlm.nih.gov/gene/?term=57187
THRAP3	THRAP3	thyroid hormone receptor associated protein 3	9967	https://www.ncbi.nlm.nih.gov/gene/?term=9967
TIAM1	TIAM1	T cell lymphoma invasion and metastasis 1	7074	https://www.ncbi.nlm.nih.gov/gene/?term=7074
TIMM17A	TIMM17A	translocase of inner mitochondrial membrane 17A	10440	https://www.ncbi.nlm.nih.gov/gene/?term=10440
TLK1	TLK1	tousled like kinase 1	9874	https://www.ncbi.nlm.nih.gov/gene/?term=9874
TLR9	TLR9	toll like receptor 9	54106	https://www.ncbi.nlm.nih.gov/gene/?term=54106
TMX1	TMX1	thioredoxin related transmembrane protein 1	81542	https://www.ncbi.nlm.nih.gov/gene/?term=81542
TNFRSF11A	TNFRSF11A	TNF receptor superfamily member 11a	8792	https://www.ncbi.nlm.nih.gov/gene/?term=8792
TNFRSF9	TNFRSF9	TNF receptor superfamily member 9	3604	https://www.ncbi.nlm.nih.gov/gene/?term=3604
TNIK	TNIK	TRAF2 and NCK interacting kinase	23043	https://www.ncbi.nlm.nih.gov/gene/?term=23043
TNNI3K	TNNI3K	TNNI3 interacting kinase	51086	https://www.ncbi.nlm.nih.gov/gene/?term=51086
TNPO1	TNPO1	transportin 1	3842	https://www.ncbi.nlm.nih.gov/gene/?term=3842
TP53	TP53	tumor protein p53	7157	https://www.ncbi.nlm.nih.gov/gene/?term=7157
TP63	TP63	tumor protein p63	8626	https://www.ncbi.nlm.nih.gov/gene/?term=8626
TPX2	TPX2	TPX2, microtubule nucleation factor	22974	https://www.ncbi.nlm.nih.gov/gene/?term=22974
TRAF3IP3	TRAF3IP3	TRAF3 interacting protein 3	80342	https://www.ncbi.nlm.nih.gov/gene/?term=80342
TRIM2	TRIM2	tripartite motif containing 2	23321	https://www.ncbi.nlm.nih.gov/gene/?term=23321
TRIM33	TRIM33	tripartite motif containing 33	51592	https://www.ncbi.nlm.nih.gov/gene/?term=51592
TRRAP	TRRAP	transformation/transcription domain associated protein	8295	https://www.ncbi.nlm.nih.gov/gene/?term=8295
TSKS	TSKS	testis specific serine kinase substrate	60385	https://www.ncbi.nlm.nih.gov/gene/?term=60385
TSPAN7	TSPAN7	tetraspanin 7	7102	https://www.ncbi.nlm.nih.gov/gene/?term=7102
TTLL3	TTLL3	tubulin tyrosine ligase like 3	26140	https://www.ncbi.nlm.nih.gov/gene/?term=26140
TUBB2A	TUBB2A	tubulin beta 2A class IIa	7280	https://www.ncbi.nlm.nih.gov/gene/?term=7280
TXN	TXN	thioredoxin	7295	https://www.ncbi.nlm.nih.gov/gene/?term=7295
TYK2	TYK2	tyrosine kinase 2	7297	https://www.ncbi.nlm.nih.gov/gene/?term=7297
UBE2L3	UBE2L3	ubiquitin conjugating enzyme E2 L3	7332	https://www.ncbi.nlm.nih.gov/gene/?term=7332
UGGT1	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	56886	https://www.ncbi.nlm.nih.gov/gene/?term=56886
UNC13B	UNC13B	unc-13 homolog B	10497	https://www.ncbi.nlm.nih.gov/gene/?term=10497
UQCRC2	UQCRC2	ubiquinol-cytochrome c reductase core protein 2	7385	https://www.ncbi.nlm.nih.gov/gene/?term=7385
VDR	VDR	vitamin D receptor	7421	https://www.ncbi.nlm.nih.gov/gene/?term=7421
VPS18	VPS18	VPS18, CORVET/HOPS core subunit	57617	https://www.ncbi.nlm.nih.gov/gene/?term=57617
WNK1	WNK1	WNK lysine deficient protein kinase 1	65125	https://www.ncbi.nlm.nih.gov/gene/?term=65125
WRN	WRN	Werner syndrome RecQ like helicase	7486	https://www.ncbi.nlm.nih.gov/gene/?term=7486
WWOX	WWOX	WW domain containing oxidoreductase	51741	https://www.ncbi.nlm.nih.gov/gene/?term=51741
XPNPEP1	XPNPEP1	X-prolyl aminopeptidase 1	7511	https://www.ncbi.nlm.nih.gov/gene/?term=7511
XRCC1	XRCC1	X-ray repair cross complementing 1	7515	https://www.ncbi.nlm.nih.gov/gene/?term=7515
YWHAH	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	7533	https://www.ncbi.nlm.nih.gov/gene/?term=7533
ZEB2	ZEB2	zinc finger E-box binding homeobox 2	9839	https://www.ncbi.nlm.nih.gov/gene/?term=9839
ZFC3H1	ZFC3H1	zinc finger C3H1-type containing	196441	https://www.ncbi.nlm.nih.gov/gene/?term=196441
ZMYM4	ZMYM4	zinc finger MYM-type containing 4	9202	https://www.ncbi.nlm.nih.gov/gene/?term=9202
ZNF148	ZNF148	zinc finger protein 148	7707	https://www.ncbi.nlm.nih.gov/gene/?term=7707
ZNF232	ZNF232	zinc finger protein 232	7775	https://www.ncbi.nlm.nih.gov/gene/?term=7775
ZNF410	ZNF410	zinc finger protein 410	57862	https://www.ncbi.nlm.nih.gov/gene/?term=57862
ZNHIT1	ZNHIT1	zinc finger HIT-type containing 1	10467	https://www.ncbi.nlm.nih.gov/gene/?term=10467
